OBJECTID,NAME,LAYER,THEME,IMAGE_,ADDRESS,PHONE,WEB_URL,WEB_URL2,STEWARD,SOURCE,LAST_UPDAT,Xcoord,Ycoord,ADDRID,PRIORITY_LEVEL,DESCRIPTION,EMAIL_PHONE,DAY,SEASONOPEN,SEASONCLOSE,VOUCHERS,Y,X
11,Arcadia's Mobile Market at Perry Street Prep,Farmers Market,Local Business & Food,,1800 Perry St NE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,401855.7505,140990.2,294529,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,May,October,,38.93631,-76.978277
12,Georgetown FRESHFARM Market,Farmers Market,Local Business & Food,,1044 Wisconsin Ave NW,,http://freshfarm.org/georgetown.html,,Jen,http://www.dcfoodfinder.org/,Fall 2017,394538.5805,137327.58,278800,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,July,November,,38.90387,-77.063002
13,UDC Farmers Market,Farmers Market,Local Business & Food,,4200 Connecticut Ave NW,202-274-7148,https://www.udc.edu/event/farmers-market/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,394416.72,141805.02,297694,,Locally grown fresh fruits and vegetables. July-Nov. Saturday.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; distributes Produce Plus checks.",38.943834,-77.066231
14,Parkside Farm Stand,Farmers Market,Local Business & Food,,3517 Jay St NE,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404252.6305,137564.14,295237,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,September,"Accepts SNAP, WIC and senior farmers market nutrition program; unlimited matching program for voucher customers; distributes Produce Plus checks.",38.907248,-76.950078
15,Rhode Island Row Farmers' Market,Farmers Market,Local Business & Food,,2350 Washington Pl NE,,http://community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400449.71,139239.89,306519,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,October,"Accepts SNAP, WIC, and senior farmers market nutrition program benefits; doubles SNAP, WIC, and senior farmers market nutrition program benefits up to $10; distributes Produce Plus",38.921158,-76.994817
16,Arcadia's Mobile Market at Hendley Elementary School,Farmers Market,Local Business & Food,,425 Chesapeake St SE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400070.7805,129022.18,24445,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,October,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.828857,-76.999542
17,D.C. Open-Air Farmers' Market at RFK Stadium,Farmers Market,Local Business & Food,farmsmkt_RFKstadium.jpg,2651 Benning Rd NE,301-325-3762,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,402588.3305,136617.67,300608,,Locally grown fresh fruits and vegetables. Summer. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,"Thursday, Saturday",YearRound,YearRound,Distributes Produce Plus checks.,38.896841,-76.968553
18,Cleveland Park Saturday Farmers' Market,Farmers Market,Local Business & Food,,3400 Connecticut Ave NW,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,394935.4005,140719.48,220980,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,,,38.934445,-77.058405
19,White House FreshFarm Market,Farmers Market,Local Business & Food,,810 VERMONT AVENUE NW,,http://freshfarm.org/index.html,,Jen,http://www.dcfoodfinder.org/,Fall 2017,396944.2505,136997.21,279954,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,April,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.900878,-77.035172
20,Arcadia's Mobile Market at Barry Farm Recreation Center,Farmers Market,Local Business & Food,,1230 Sumner Rd SE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400320.84,132501.09,285960,,,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,October,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.860635,-76.996674
21,Arcadia's Mobile Market at Parkside Unity Clinic/Circle 7 Express,Farmers Market,Local Business & Food,,740 Kenilworth Terrace NE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404607.0605,136990.6,288937,,,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.900799,-76.947434
22,Farm to Family/Bus Farm,Farmers Market,Local Business & Food,,355 E St SW,,http://thefarmbus.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398580.42,135084.38,307324,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,April,December,Accepts SNAP benefits.,38.883764,-77.016532
23,Arcadia's Mobile Market at Children's National Medical Center WIC Clinic,Farmers Market,Local Business & Food,,"111 Michigan Ave., NW",,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398807.6,139978.02,243365,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.927152,-77.014524
24,14th & Kennedy Farmers' Market,Farmers Market,Local Business & Food,,5425 14th St NW,,http://freshvistafarmersmarkets.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397128.2405,143102.5,304708,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits.",38.955861,-77.033041
25,USDA Farmers Market,Farmers Market,Local Business & Food,,1400 Independence Ave SW,(800)384-8704,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397394.1595,135431.16,291739,,Locally grown fresh fruits and vegetables. Friday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,October,"Some vendors accept SNAP, WIC and senior farmers market nutrition program benefits; distributes Produce Plus checks.",38.887059,-77.030524
26,Twin Springs Maret School Market,Farmers Market,Local Business & Food,farmsmkt_twinsprings.jpg,3000 Cathedral Ave. NW,(717) 334-4582,http://www.twinspringsfruitfarm.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,394748.2605,140042.15,220176,,Locally grown fresh fruits and vegetables. Summer-Dec. Saturday.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,YearRound,YearRound,Accepts WIC and senior farmers market nutrition program benefits.,38.927794,-77.059571
27,Columbia Heights Farmers' Market,Farmers Market,Local Business & Food,,1375 Kenyon St NW,,http://community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397238.2805,140219.43,297618,,,jennifer.guillaume@dc.gov _ 535-2252,"Wednesday, Saturday",April,December,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $10 matching prgram for nutrition assistance customers; distributes Produce Plus checks.",38.92996,-77.03178
28,Ward 8 Farmers' Market,Farmers Market,Local Business & Food,farmsmkt_Ward8.jpg,3200 6th St SE,202.561.8204,http://ward8farmersmarket.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400152.8805,130516.03,294557,1,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,November,Accepts SNAP and Washington/Maryland WIC and seniors farmers market nutrition program benefits; distributes Produce Plus checks.,38.842594,-76.998181
29,UDC East Capitol Farmers' Market,Farmers Market,Local Business & Food,,5901 East Capitol St SE,202-274-7148,https://www.udc.edu/causes/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,407297.0905,135734.14,302595,,Locally grown fresh fruits and vegetables. July-Nov. Saturday.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Distributes Produce Plus checks; some vendors may accept SNAP, WIC and senior farmers market nutrition program benefits",38.889648,-76.916214
30,Arcadia's Mobile Market at Congress Heights Senior Wellness Center,Farmers Market,Local Business & Food,,3500 Martin Luther King Jr Ave SE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,399675.9105,130234.21,303598,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.839797,-77.003753
31,Shaw Farmers Market,Farmers Market,Local Business & Food,,925 Rhode Island Ave NW,,http://community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397835.1595,138255.36,294503,,,jennifer.guillaume@dc.gov _ 535-2252,Sunday,May,October,"Accepts SNAP, WIC, and senior farmers market nutrition program benefits; doubles SNAP, WIC, and senior farmers market nutrition program benefits up to $10; distributes Produce Plus",38.912335,-77.025279
32,Rose Park Farmers' Market,Farmers Market,Local Business & Food,,1404 26th St NW,202-333-4946,https://www.roseparkdc.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,395239.3005,137876.98,274894,,Locally grown fresh fruits and vegetables. April-Oct. Wednesday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,October,"Accepts SNAP, WIC and senior farmers market nutrition program benefits.",38.908766,-77.05488
33,Arcadia's Mobile Market at the Overlook at Oxon Run,Farmers Market,Local Business & Food,,3700 9TH ST SE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400493.9205,129785,278421,,,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.836032,-76.994121
34,Capital Harvest on the Plaza,Farmers Market,Local Business & Food,,1300 Pennsylvania Ave NW,,http://capitalharvestdc.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397379.1195,136343.99,293198,,,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,November,Accepts WIC benefits.,38.894054,-77.030449
35,Arcadia's Mobile Market at United Medical Center,Farmers Market,Local Business & Food,,1310 Southern Ave SE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,401383.19,129834.03,277936,,,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,October,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.835973,-76.984983
36,DC Urban Greens Farm Stand,Farmers Market,Local Business & Food,,3779 Ely Pl SE,,http://dcurbangreens.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404392.7105,134968.68,301486,,,jennifer.guillaume@dc.gov _ 535-2252,"Wednesday, Saturday",June,October,"Accepts SNAP, WIC and senior farmers market nutrition program benefits. Distributes Produce Plus checks.",38.882563,-76.949373
37,Riverside Center Market,Farmers Market,Local Business & Food,farmsmkt_riverside.jpg,601 Division Ave NE,<Null>,http://www.dcurbangreens.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,406439.2305,136608.14,5742,1,Locally grown fresh fruits and vegetables. Friday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits.",38.897344,-76.925709
38,Petworth Community Market,Farmers Market,Local Business & Food,,4121 9th St NW,,https://petworthcmarket.wordpress.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397852.4005,141497.29,252482,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; Matching dollars for SNAP and WIC customers; distributes Produce Plus checks.",38.941411,-77.024792
39,14th & U Farmers' Market,Farmers Market,Local Business & Food,,2000 14th St NW,,http://marketsandmore.net/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397189.8805,138842.23,239976,,Locally grown fresh fruits and vegetables. April-Oct. Wednesday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Accepts SNAP, WIC, senior farmers market nutrition program and FVRx benefits; Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks. Bonus and Produce Plus begins June 4th.",38.917588,-77.032462
40,Arcadia's Mobile Market at Community of Hope/Bellevue Neighborhood Library,Farmers Market,Local Business & Food,,115 Atlantic St SW,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,399186.8695,129281.97,302935,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.831258,-77.00944
41,Arcadia's Mobile Market at Deanwood Recreation Center,Farmers Market,Local Business & Food,,1350 49th St. NE,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,405884.39,137844.91,307551,,,jennifer.guillaume@dc.gov _ 535-2252,Friday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.908497,-76.932347
42,Georgetown University Farmers' Market,Farmers Market,Local Business & Food,,3623 O St NW,,http://gufarmersmarket.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,393819.6305,137775.68,272542,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,"March, September","May, November",,38.907864,-77.071254
43,Brookland's Monroe Street Farmers' Market,Farmers Market,Local Business & Food,,716 Monroe St NE,,http://www.community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400432.98,140550.05,309744,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,December,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; doubles SNAP, WIC, and senior farmers market nutrition program checks; distributes Produce Plus checks.",38.932884,-76.995222
44,Minnesota Avenue - Benning Road Farmers' Market,Farmers Market,Local Business & Food,,3924 Minnesota Ave NE,,http://dreamingoutloud.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404224.2505,136231.85,288039,,,jennifer.guillaume@dc.gov _ 535-2252,Thursday,June,October,"Accepts SNAP, WIC, senior farmers market nutrition program and FVRx benefits; distributes Produce Plus checks.",38.893954,-76.951433
45,People's Health Initiative Market,Farmers Market,Local Business & Food,,1229 G St SE,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,400965.2305,134805.57,290355,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,July,November,,38.881085,-76.989046
46,Chevy Chase/Broad Branch Farmers' Market,Farmers Market,Local Business & Food,,5601 Connecticut Ave. NW,,http://chevychasefarmersmarket.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,393490.7405,144141.13,263959,,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,YearRound,YearRound,,38.965185,-77.075119
47,Bloomingdale Farmers' Market,Farmers Market,Local Business & Food,,1700 1st St NW,,http://marketsandmore.net/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398927.6195,138321.3,218404,1,Locally grown fresh fruits and vegetables. May-November. Sunday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Sunday,May,November,"Accepts SNAP, WIC, senior farmers market nutrition program and FVRx benefits; Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks. Bonus and Produce Plus begin June 4th.",38.91278,-77.012466
48,Eastern Market Outdoor Farmers' Market,Farmers Market,Local Business & Food,farmsmkt_eastern.jpg,225 7th St SE,202-478-2429,http://easternmarket-dc.com/,www.goodgenerallink.org,Jen,http://www.dcfoodfinder.org/,Fall 2017,400306.4005,135397.02,300829,1,DC's oldest continually operated fresh food public market. Year-round. Adjoining arts & crafts market.,jennifer.guillaume@dc.gov _ 535-2252,"Tuesday, Saturday, Sunday",YearRound,YearRound,Accepts SNAP and WIC benefits; distributes Produce Plus checks.,38.886629,-76.996482
49,Arcadia’s Mobile Market at Wah Luck House Chinatown,Farmers Market,Local Business & Food,,800 6th St NW,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398248.6995,136930.85,279939,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,October,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.900138,-77.020134
50,Paradise Farmers' Market,Farmers Market,Local Business & Food,,3598 Hayes St NE,,,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404191.2005,137578.82,295261,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,September,,38.906016,-76.951446
51,Glover Park-Burleith Farmers' Market,Farmers Market,Local Business & Food,,1819 35th St NW,,http://community-foodworks.org/farmers-markets,,Jen,http://www.dcfoodfinder.org/,Fall 2017,394049.4605,138629.13,274432,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; matches SNAP, WIC and senior farmers market nutrition program benefits up to $10; distributes Produce Plus checks.",38.915468,-77.06824
52,Foggy Bottom FRESHFARM Market,Farmers Market,Local Business & Food,farmsmkt_foggybottom.jpg,901 23rd St NW,<Null>,http://freshfarm.org/index.html,http://www.freshfarmmarket.org/,Jen,http://www.dcfoodfinder.org/,Fall 2017,395709.1695,137063.04,242383,,Locally grown fresh fruits and vegetables. April-Nov. Wednesday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,April,November,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.900522,-77.050578
53,Palisades Farmers Market,Farmers Market,Local Business & Food,,4865 MacArthur Blvd NW,202-744-7077,http://palisadesfarmersmarket.com/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,391678.1105,138844.95,285004,1,,jennifer.guillaume@dc.gov _ 535-2252,Sunday,YearRound,YearRound,"Accepts SNAP, WIC, senior farmers market nutrition program and Produce Plus benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers.",38.917484,-77.095882
54,H Street FreshFarm Market,Farmers Market,Local Business & Food,farmsmkt_hstreet.jpg,800 13th St NE,<Null>,http://freshfarmmarkets.org/,http://www.freshfarmmarket.org/,Jen,http://www.dcfoodfinder.org/,Fall 2017,401002.8948,136939.9542,,1,Locally grown fresh fruits and vegetables. May-October. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.900275,-76.988329
55,Arcadia's Mobile Market and Common Good City Farm's Market at LeDroit Park,Farmers Market,Local Business & Food,,300 Elm St NW,,http://arcadiafood.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398614.5545,138861.1047,,,,jennifer.guillaume@dc.gov _ 535-2252,Wednesday,May,,"Accepts SNAP, WIC and senior farmers market nutrition program; matching program for voucher customers; distributes Produce Plus checks.",38.917546,-77.015948
56,New Morning Farmers Market at the Sheridan School,Farmers Market,Local Business & Food,,3600 Alton Place NW,814.448.3904,http://www.newmorningfarm.net/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,393934.9645,142124.6033,,1,Locally grown fresh fruits and vegetables. Saturday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,"Tuesday, Saturday",YearRound,,"Accepts WIC, senior farmers market nutrition program and Produce Plus benefits.",38.947138,-77.069869
57,CityCenterDC FreshFarm Market,Farmers Market,Local Business & Food,,1098 New York Ave NW,,http://freshfarm.org/index.html,,Jen,http://www.dcfoodfinder.org/,Fall 2017,397684.65,137078.7,,,,jennifer.guillaume@dc.gov _ 535-2252,Tuesday,May,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.900603,-77.026012
58,Kenilworth-Parkside Farmers' Market,Farmers Market,Local Business & Food,,750 Parkside Pl NE,,http://community-foodworks.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,404425.3089,136987.5489,,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,June,,"Accepts SNAP, WIC and senior farmers market nutrition program; unlimited matching program for voucher customers; distributes Produce Plus checks.",38.900827,-76.948938
59,Mount Vernon Triangle FreshFarm Market,Farmers Market,Local Business & Food,,499 I St NW,,http://freshfarmmarkets.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,398368.5125,137044.6725,,,,jennifer.guillaume@dc.gov _ 535-2252,Saturday,May,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.901353,-77.018917
60,Freshfarm Capitol Riverfront Farmers' Market,Farmers Market,Local Business & Food,,200 M St SE,,http://freshfarm.org/index.html,,Jen,http://www.dcfoodfinder.org/,Fall 2017,399720.2767,134317.7037,,,,jennifer.guillaume@dc.gov _ 535-2252,Sunday,May,, ,38.877156,-77.003108
61,Dupont Circle FRESHFARM Market,Farmers Market,Local Business & Food,farmsmkt_dupontcircle.jpg,1500 20th St NW,<Null>,http://freshfarm.org/index.html,http://www.freshfarmmarket.org/,Jen,http://www.dcfoodfinder.org/,Fall 2017,396080.83,138119.62,,1,Locally grown fresh fruits and vegetables. Year-round. Sunday. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Sunday,YearRound,,"Accepts SNAP, WIC and senior farmers market nutrition program benefits; $15 Matching dollars program for SNAP, WIC and senior farmers market nutrition program customers; distributes Produce Plus checks.",38.909814,-77.044759
62,Mount Pleasant Farmers' Market,Farmers Market,Local Business & Food,farmsmkt_mtpleasant.jpg,3200 Mt Pleasant St NW,,http://mtpfm.org/,,Jen,http://www.dcfoodfinder.org/,Fall 2017,396659.554,140383.713,,1,Locally grown fresh fruits and vegetables. May-Nov. Sat. WIC and Senior Nutrition coupons accepted.,jennifer.guillaume@dc.gov _ 535-2252,Saturday,April,,Accepts WIC and senior farmers market nutrition program benefits; distributes Produce Plus checks.,38.931235,-77.038364
